epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.23303,1.54474,3.21336,1.35842,0.09173,1,0.32853,0.27786,0.61068,2.76076,0.81546,0.00036,0.00036,0.00036
2,16.7693,0.83757,1.61912,0.94173,0.96734,0.9403,0.98535,0.75746,0.8288,1.55785,0.83111,0.000732674,0.000732674,0.000732674
3,23.4242,0.78704,1.1317,0.89131,0.99025,0.99005,0.99481,0.8512,0.62587,0.86457,0.7988,0.00109782,0.00109782,0.00109782
4,30.2562,0.72215,0.87566,0.87781,0.99854,0.99502,0.995,0.76313,0.72791,0.83357,0.84151,0.00145545,0.00145545,0.00145545
5,37.8014,0.65187,0.77936,0.86589,0.99451,0.99502,0.99499,0.90292,0.47061,0.61076,0.80593,0.00180555,0.00180555,0.00180555
6,44.9614,0.58034,0.69758,0.85214,0.9973,0.99502,0.995,0.90635,0.42832,0.76022,0.80158,0.001901,0.001901,0.001901
7,52.5451,0.53142,0.65423,0.84099,0.9976,0.99502,0.995,0.90918,0.42551,0.52763,0.7821,0.0018812,0.0018812,0.0018812
8,59.5522,0.5184,0.62295,0.83145,0.99992,0.99502,0.995,0.88355,0.51053,0.49779,0.80709,0.0018614,0.0018614,0.0018614
9,66.5118,0.45862,0.56782,0.83238,0.99987,0.99502,0.995,0.94259,0.34619,0.49885,0.77542,0.0018416,0.0018416,0.0018416
10,74.4964,0.44993,0.54918,0.82651,0.99992,0.99502,0.995,0.95563,0.31015,0.4386,0.7735,0.0018218,0.0018218,0.0018218
11,81.4077,0.43962,0.52435,0.81852,0.99992,0.99502,0.995,0.94735,0.35233,0.40886,0.77495,0.001802,0.001802,0.001802
12,87.8974,0.40917,0.50534,0.81651,0.99992,0.99502,0.995,0.9701,0.2786,0.36259,0.77113,0.0017822,0.0017822,0.0017822
13,94.6562,0.38362,0.47423,0.81672,0.99976,0.99502,0.995,0.9702,0.28496,0.36543,0.77229,0.0017624,0.0017624,0.0017624
14,102.076,0.37343,0.45565,0.81182,0.99988,0.99502,0.995,0.98448,0.2622,0.35459,0.76972,0.0017426,0.0017426,0.0017426
15,109.186,0.34874,0.42909,0.81836,0.99983,0.99502,0.995,0.97421,0.27693,0.35189,0.7694,0.0017228,0.0017228,0.0017228
16,116.867,0.34782,0.43484,0.81456,0.99983,0.99502,0.995,0.9839,0.2517,0.34802,0.76794,0.001703,0.001703,0.001703
17,124.136,0.32452,0.40548,0.80612,0.99991,0.99502,0.995,0.98933,0.25348,0.335,0.76576,0.0016832,0.0016832,0.0016832
18,131.516,0.31933,0.39593,0.8072,0.99992,0.99502,0.995,0.98664,0.23202,0.34496,0.76607,0.0016634,0.0016634,0.0016634
19,138.549,0.31173,0.39283,0.80412,0.99981,0.99502,0.995,0.98928,0.21565,0.3095,0.76536,0.0016436,0.0016436,0.0016436
20,145.305,0.31003,0.37872,0.80407,0.99916,0.99502,0.995,0.99177,0.23231,0.3278,0.76215,0.0016238,0.0016238,0.0016238
21,152.368,0.30624,0.39575,0.80656,0.99974,0.99502,0.995,0.982,0.24784,0.31988,0.76645,0.001604,0.001604,0.001604
22,159.111,0.31826,0.37114,0.80432,0.99969,0.99502,0.995,0.99076,0.24145,0.32319,0.76446,0.0015842,0.0015842,0.0015842
23,166.21,0.32279,0.3778,0.8019,0.99897,0.99502,0.995,0.99192,0.24287,0.33422,0.7616,0.0015644,0.0015644,0.0015644
24,173.563,0.31061,0.39061,0.80191,0.9996,0.99502,0.995,0.99183,0.23664,0.32473,0.75983,0.0015446,0.0015446,0.0015446
25,180.71,0.29728,0.38739,0.80101,0.99846,0.99502,0.995,0.99147,0.20405,0.31635,0.75909,0.0015248,0.0015248,0.0015248
26,188.115,0.30216,0.3703,0.80726,0.99936,0.99502,0.995,0.98979,0.23979,0.35944,0.76252,0.001505,0.001505,0.001505
27,195.149,0.27288,0.34839,0.79715,0.99986,0.99502,0.995,0.99342,0.19385,0.34908,0.75801,0.0014852,0.0014852,0.0014852
28,202.849,0.2784,0.36107,0.79961,0.99987,0.99502,0.995,0.99319,0.19576,0.29342,0.75821,0.0014654,0.0014654,0.0014654
29,210.424,0.26876,0.3495,0.79878,0.99966,0.99502,0.995,0.99059,0.20856,0.29881,0.75886,0.0014456,0.0014456,0.0014456
30,216.959,0.27229,0.36363,0.79543,0.9989,0.99502,0.995,0.9808,0.22969,0.29601,0.76195,0.0014258,0.0014258,0.0014258
31,224.215,0.28196,0.33086,0.79322,0.99976,0.99502,0.995,0.99262,0.21371,0.29271,0.75933,0.001406,0.001406,0.001406
32,232.345,0.27544,0.35211,0.79453,0.99966,0.99502,0.995,0.99168,0.20341,0.28436,0.75886,0.0013862,0.0013862,0.0013862
33,240.147,0.25762,0.32109,0.7903,0.99987,0.99502,0.995,0.99314,0.18981,0.29412,0.75804,0.0013664,0.0013664,0.0013664
34,248.244,0.26069,0.32423,0.79263,0.99987,0.99502,0.995,0.99312,0.19761,0.30071,0.75713,0.0013466,0.0013466,0.0013466
35,254.995,0.25462,0.31722,0.79419,0.9999,0.99502,0.995,0.99301,0.19118,0.29509,0.75715,0.0013268,0.0013268,0.0013268
36,262.521,0.24224,0.32115,0.79234,0.99993,0.99502,0.995,0.99304,0.18897,0.29299,0.75523,0.001307,0.001307,0.001307
37,269.605,0.26532,0.34079,0.79437,0.99991,0.99502,0.995,0.99087,0.2118,0.28542,0.75924,0.0012872,0.0012872,0.0012872
38,277.117,0.27089,0.32983,0.7974,0.99987,0.99502,0.995,0.99273,0.20061,0.28867,0.75695,0.0012674,0.0012674,0.0012674
39,284.705,0.25225,0.32624,0.79711,0.99975,0.99502,0.995,0.99297,0.18823,0.30766,0.75619,0.0012476,0.0012476,0.0012476
40,291.98,0.26184,0.33362,0.79704,0.99983,0.99502,0.995,0.99275,0.19521,0.28104,0.75697,0.0012278,0.0012278,0.0012278
41,299.796,0.25133,0.30936,0.7958,0.99988,0.99502,0.995,0.99394,0.16883,0.2439,0.7551,0.001208,0.001208,0.001208
42,307.406,0.23595,0.2997,0.79412,0.99986,0.99502,0.995,0.99276,0.18969,0.25165,0.7544,0.0011882,0.0011882,0.0011882
43,315.269,0.24548,0.30485,0.79842,0.9997,0.99502,0.995,0.99228,0.19862,0.26871,0.7563,0.0011684,0.0011684,0.0011684
