epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6395,1.7948,3.09809,1.37206,0.11996,1,0.96576,0.71263,1.07901,2.40126,0.91863,0.000649123,0.000649123,0.000649123
2,29.5298,1.35974,1.96949,1.04329,0.96873,0.53949,0.85192,0.46553,1.81359,2.18116,1.30536,0.00130276,0.00130276,0.00130276
3,45.0078,1.12802,1.52382,0.98234,0.98543,0.92519,0.97516,0.78507,0.83085,0.92474,0.93813,0.0019432,0.0019432,0.0019432
4,60.1237,1.03796,1.27867,0.94149,0.96097,0.94942,0.98805,0.72028,1.0293,0.85318,0.97351,0.0019406,0.0019406,0.0019406
5,74.8086,0.95622,1.07438,0.93711,1,0.99446,0.995,0.82745,0.75672,0.69279,0.87318,0.0019208,0.0019208,0.0019208
6,89.7036,1.00034,0.95904,0.94066,1,0.99333,0.995,0.72308,0.84373,0.79615,0.87207,0.001901,0.001901,0.001901
7,104.312,0.9621,0.88519,0.91467,0.99967,0.99502,0.995,0.71503,0.83885,0.82195,0.87052,0.0018812,0.0018812,0.0018812
8,119.333,0.86657,0.84755,0.90995,0.9998,0.99502,0.995,0.85411,0.7213,0.64923,0.83539,0.0018614,0.0018614,0.0018614
9,134.343,0.72457,0.75812,0.87591,0.99797,0.99502,0.995,0.87978,0.57416,0.54926,0.82447,0.0018416,0.0018416,0.0018416
10,149.412,0.67786,0.72852,0.86803,0.99974,0.99502,0.995,0.9055,0.49655,0.52788,0.81096,0.0018218,0.0018218,0.0018218
11,164.667,0.65314,0.69839,0.85957,0.99987,0.99502,0.995,0.90202,0.46199,0.53226,0.81047,0.001802,0.001802,0.001802
12,179.637,0.66822,0.67152,0.86339,0.99984,0.99502,0.995,0.91748,0.48267,0.52542,0.81509,0.0017822,0.0017822,0.0017822
13,194.766,0.62776,0.65676,0.848,0.99979,0.99502,0.995,0.93097,0.40663,0.47971,0.79771,0.0017624,0.0017624,0.0017624
14,209.459,0.56208,0.6135,0.84494,0.99984,0.99502,0.995,0.94434,0.39202,0.51969,0.80369,0.0017426,0.0017426,0.0017426
15,224.427,0.57956,0.59533,0.84077,0.99991,0.99502,0.995,0.91017,0.45385,0.60503,0.80803,0.0017228,0.0017228,0.0017228
16,239.203,0.57401,0.57362,0.8376,0.99984,0.99502,0.995,0.94535,0.3582,0.46672,0.79672,0.001703,0.001703,0.001703
