epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.196,1.44176,2.21807,1.30237,0.92606,0.99627,0.99301,0.92352,0.38274,0.63056,0.78226,0.00036,0.00036,0.00036
2,18.7955,0.5095,0.51709,0.87064,1,0.99486,0.995,0.94214,0.36442,0.9286,0.79448,0.000732674,0.000732674,0.000732674
3,26.4798,0.48366,0.47406,0.84438,0.97132,0.90423,0.97993,0.90558,0.4141,0.57809,0.8223,0.00109782,0.00109782,0.00109782
4,34.54,0.41044,0.45091,0.83695,0.99335,0.92889,0.97938,0.92178,0.40204,0.59086,0.79894,0.00145545,0.00145545,0.00145545
5,43.396,0.40355,0.40747,0.83249,1,0.99472,0.995,0.95517,0.33106,0.38916,0.77528,0.00180555,0.00180555,0.00180555
6,51.7089,0.37598,0.38731,0.82623,0.99976,0.99502,0.995,0.96044,0.30662,0.35595,0.77182,0.001901,0.001901,0.001901
7,60.9067,0.3458,0.36531,0.81957,0.99966,0.99502,0.995,0.94599,0.32974,0.36791,0.76928,0.0018812,0.0018812,0.0018812
8,69.4696,0.33994,0.33905,0.80723,0.99942,0.99502,0.995,0.97837,0.32344,0.39497,0.77401,0.0018614,0.0018614,0.0018614
9,78.3119,0.32784,0.33991,0.81154,0.99984,0.99502,0.995,0.98683,0.29154,0.351,0.7689,0.0018416,0.0018416,0.0018416
10,89.2287,0.31125,0.31814,0.8064,1,0.99614,0.995,0.97658,0.28511,0.30589,0.76514,0.0018218,0.0018218,0.0018218
11,97.7152,0.31075,0.31088,0.80186,1,0.99615,0.995,0.97363,0.2633,0.29331,0.76287,0.001802,0.001802,0.001802
12,105.576,0.29692,0.30332,0.79801,0.99984,0.99502,0.995,0.98816,0.27404,0.30388,0.76294,0.0017822,0.0017822,0.0017822
13,113.448,0.29902,0.29888,0.80369,0.9998,0.99502,0.995,0.98928,0.27349,0.30841,0.76466,0.0017624,0.0017624,0.0017624
14,122.244,0.28853,0.29418,0.79826,0.99983,0.99502,0.995,0.99196,0.23699,0.27952,0.76343,0.0017426,0.0017426,0.0017426
15,130.172,0.27809,0.28982,0.80426,0.9999,0.99502,0.995,0.99017,0.22169,0.25676,0.75948,0.0017228,0.0017228,0.0017228
16,139.027,0.27407,0.27904,0.79936,0.99991,0.99502,0.995,0.9922,0.2029,0.2372,0.75802,0.001703,0.001703,0.001703
17,148.425,0.26504,0.26994,0.79249,0.99992,0.99502,0.995,0.98906,0.21052,0.25356,0.75786,0.0016832,0.0016832,0.0016832
18,157.16,0.25096,0.26649,0.79565,0.99993,0.99502,0.995,0.99382,0.189,0.24714,0.75921,0.0016634,0.0016634,0.0016634
19,166.694,0.24222,0.26454,0.79333,0.99993,0.99502,0.995,0.993,0.18462,0.2473,0.75916,0.0016436,0.0016436,0.0016436
20,173.484,0.25712,0.2566,0.79549,0.99991,0.99502,0.995,0.99417,0.17277,0.21292,0.755,0.0016238,0.0016238,0.0016238
21,181.017,0.24908,0.25913,0.79674,0.99991,0.99502,0.995,0.99,0.2114,0.22725,0.75732,0.001604,0.001604,0.001604
22,188.459,0.26861,0.26361,0.795,0.99989,0.99502,0.995,0.98944,0.23649,0.23103,0.75948,0.0015842,0.0015842,0.0015842
23,195.719,0.26826,0.26047,0.79414,0.99974,0.99502,0.995,0.99269,0.2285,0.22489,0.75842,0.0015644,0.0015644,0.0015644
24,203.615,0.28532,0.25889,0.79754,0.9998,0.99502,0.995,0.99287,0.21257,0.23537,0.7603,0.0015446,0.0015446,0.0015446
25,211.126,0.27366,0.26371,0.79594,1,0.99611,0.995,0.99185,0.23455,0.23765,0.76592,0.0015248,0.0015248,0.0015248
26,218.963,0.26563,0.25541,0.80149,0.99964,0.99502,0.995,0.99308,0.21639,0.23954,0.76114,0.001505,0.001505,0.001505
27,226.032,0.23664,0.23574,0.79018,0.99982,0.99502,0.995,0.99399,0.18384,0.20796,0.75624,0.0014852,0.0014852,0.0014852
28,233.949,0.23215,0.23543,0.79389,0.99983,0.99502,0.995,0.99247,0.19722,0.21152,0.75605,0.0014654,0.0014654,0.0014654
29,241.848,0.23544,0.23799,0.79347,0.99526,0.99502,0.99481,0.98669,0.20533,0.23757,0.75523,0.0014456,0.0014456,0.0014456
30,248.699,0.23844,0.23258,0.78911,0.99623,0.99502,0.99495,0.99377,0.17139,0.22038,0.75216,0.0014258,0.0014258,0.0014258
31,256.237,0.22642,0.22224,0.78626,0.9963,0.99502,0.99496,0.9943,0.16265,0.21809,0.75522,0.001406,0.001406,0.001406
32,264.257,0.21503,0.22803,0.78845,0.99899,0.99502,0.995,0.99434,0.16819,0.20175,0.75632,0.0013862,0.0013862,0.0013862
33,272.251,0.20964,0.21641,0.78463,0.9999,0.99502,0.995,0.99358,0.17756,0.19934,0.75308,0.0013664,0.0013664,0.0013664
34,280.017,0.22423,0.22716,0.78651,0.99988,0.99502,0.995,0.99374,0.16785,0.18882,0.75252,0.0013466,0.0013466,0.0013466
35,286.45,0.21915,0.22146,0.78747,0.99991,0.99502,0.995,0.99339,0.18217,0.18913,0.75314,0.0013268,0.0013268,0.0013268
36,293.699,0.20817,0.21729,0.78555,0.99993,0.99502,0.995,0.9941,0.17172,0.17759,0.75196,0.001307,0.001307,0.001307
37,300.774,0.22054,0.22277,0.78757,0.99992,0.99502,0.995,0.99459,0.15849,0.18392,0.7497,0.0012872,0.0012872,0.0012872
38,308.32,0.20827,0.21664,0.7898,0.9998,0.99502,0.995,0.99462,0.15911,0.18736,0.7519,0.0012674,0.0012674,0.0012674
39,315.845,0.19972,0.21966,0.79322,0.99861,0.99502,0.995,0.99452,0.1592,0.19217,0.75284,0.0012476,0.0012476,0.0012476
40,323.296,0.21159,0.22241,0.78886,0.99802,0.99502,0.995,0.99431,0.15565,0.19627,0.75248,0.0012278,0.0012278,0.0012278
41,331.385,0.21818,0.22255,0.78966,0.99975,0.99502,0.995,0.99068,0.20456,0.19593,0.75421,0.001208,0.001208,0.001208
42,338.718,0.20711,0.21955,0.78923,0.9999,0.99502,0.995,0.99379,0.17159,0.18328,0.75095,0.0011882,0.0011882,0.0011882
43,346.312,0.2081,0.21448,0.79167,0.99991,0.99502,0.995,0.99457,0.16713,0.18237,0.74965,0.0011684,0.0011684,0.0011684
44,354.039,0.21506,0.21405,0.78859,1,0.99619,0.995,0.99454,0.14793,0.16345,0.74665,0.0011486,0.0011486,0.0011486
45,361.584,0.19539,0.21014,0.78566,0.99991,0.99502,0.995,0.9943,0.15815,0.17482,0.74687,0.0011288,0.0011288,0.0011288
46,369.177,0.20997,0.20958,0.78681,0.9999,0.99502,0.995,0.99449,0.16393,0.18151,0.74818,0.001109,0.001109,0.001109
